T?nh,N?m,Dân s?,Dân s? nam,Dân s? n?,Dân s? thành th?,Dân s? nông thôn,S? l??ng trang tr?i,Di?n tích tr?ng lúa,S?n l??ng lúa,Di?n tích tr?ng ngô,S?n l??ng ngô,Di?n tích khoai lang,S?n l??ng khoai lang,S? l??ng trâu,S? l??ng bò,S? l??ng l?n,S? l??ng gia c?m,Di?n tích r?ng tr?ng m?i,S?n l??ng g? khai thác,Di?n tích nuôi tr?ng th?y s?n,S?n l??ng th?y s?n,S? l??t v?n chuy?n hành khách,S? l??t luân chuy?n hành khách,Kh?i l??ng hàng hóa v?n chuy?n,Kh?i l??ng hàng hóa luân chuy?n,S? tr??ng ti?u h?c,S? tr??ng thcs,S? tr??ng thpt,S? giáo viên ti?u h?c,S? giáo viên thcs,S? giáo viên thpt,S? h?c sinh ti?u h?c,S? h?c sinh thcs,S? h?c sinh thpt,S? b?nh vi?n,S? tr?m y t?,S? bác s?
Thái Nguyên,2006,1106500,553800,552700,270100,836400,587,70100,326500,15300,53900,9400,51400,109100,56000,497400,4844000,3100,28700,4500,3863,3200000,306200000,7942000,268000000,227,179,26,5084,4941,1712,78056,79572,41259,15,175,727
L?ng S?n,2006,726300,361100,365200,138300,588000,27,48600,188400,17700,70200,2700,12200,175100,51600,309700,3160000,5600,65800,1000,1150,3600000,218400000,1640000,49900000,219,174,22,4630,4425,1040,64381,67372,30112,13,226,537
B?c Giang,2006,1543000,762900,780100,141200,1401800,1406,114200,545400,13800,42900,10400,97600,90700,141000,1034800,10280000,4400,39300,5500,9685,5700000,469500000,5260600,162000000,256,221,46,6987,6901,2552,124713,129435,72320,15,229,861
Phú Th?,2006,1301500,639800,661700,199600,1101900,470,71400,342500,18000,65800,4500,26400,92900,156700,524300,7838000,8500,172100,8500,15936,3400000,397600000,12257100,566800000,295,249,51,5899,5857,2432,92458,102840,55150,16,273,627
?i?n Biên,2006,452700,227100,225600,72500,380200,127,41100,133300,26400,52300,500,2900,101200,29900,220700,1117000,1000,59600,1600,927,700000,116800000,821000,132000000,138,99,18,3977,2363,738,57060,33210,14561,9,88,217
Lai Châu,2006,360700,181300,179400,47600,313100,116,30400,99100,17000,32100,800,4100,86100,11900,151800,815000,1800,5700,500,860,500000,12400000,510000,19200000,100,81,9,3282,1619,271,42688,20151,5060,7,90,103
S?n La,2006,1033500,519700,513800,134300,899200,92,39200,139200,82400,269000,600,4200,155200,152500,384500,3753000,3500,52000,2000,4021,2200000,201400000,2196000,214600000,231,192,26,6824,4965,1253,113270,83740,32933,15,201,444
Hòa Bình,2006,858600,426800,431800,130900,727700,186,43800,218500,32200,107500,5500,25100,122600,77800,387400,3068000,7200,135000,1800,3269,3900000,240600000,2559000,95000000,219,209,32,4987,4733,1261,61139,64082,31737,13,209,366
Thanh Hóa,2006,3428000,1679300,1748700,343100,3084900,3384,254300,1398600,63800,233000,15600,96900,224600,387000,1343300,13500000,10000,46100,12900,79217,5700000,397700000,14631000,991000000,730,652,100,15461,17114,5748,264432,315298,158590,33,623,1579
Ngh? An,2006,2900100,1423100,1477000,342200,2557900,954,182200,911300,67100,232500,14500,90900,286600,433100,1184600,10521000,9500,92700,19800,70894,19300000,1219500000,21090000,1131900000,575,436,89,14826,14474,5694,254662,293087,143955,24,469,1136
Hà T?nh,2006,1243600,617500,626100,161500,1082100,403,101800,476800,7800,19000,14100,85000,109200,210800,405000,4158000,6500,49200,6800,30556,4200000,440800000,8102900,157800000,309,197,43,5435,6717,2815,114246,131060,70297,15,261,482
Qu?ng Bình,2006,834500,415700,418800,118700,715800,796,49100,231800,4700,18900,4000,26900,39400,123100,347300,1830000,4200,34800,3500,34151,5100000,227400000,5070000,201100000,231,144,27,3660,4164,1635,76969,82948,42104,9,157,506
Qu?ng Tr?,2006,591900,292600,299300,155500,436400,741,45900,213500,3000,6200,3800,26000,40900,65900,253900,1829000,4500,48400,2400,19620,3500000,309800000,3006000,189300000,156,102,25,3556,3434,1443,61806,61177,29211,10,138,352
Th?a Thiên Hu?,2006,1076900,529500,547400,365100,711800,478,50300,252600,1800,7200,4600,22400,36900,28200,270500,1400000,3900,58100,5300,31807,12700000,602600000,4729000,216300000,234,104,27,4575,4578,1842,111564,98754,45178,12,153,600
?à N?ng,2006,825900,400500,425400,698300,127600,327,8100,46300,800,4700,700,4700,2400,14900,76600,342000,600,23700,600,38426,13300000,522200000,15688300,2201000000,98,49,19,2740,2797,1496,61210,61016,33773,12,56,738
Qu?ng Nam,2006,1410800,683400,727400,245200,1165600,933,83600,385100,11600,48300,8800,54700,79000,233700,587900,3526000,8700,141200,7200,55578,8600000,526500000,3688600,241600000,266,189,42,6337,5998,2110,128428,131465,67470,22,221,668
Qu?ng Ngãi,2006,1212600,594200,618400,174100,1038500,322,75100,376900,10200,50200,1100,5300,47400,284600,522700,2472000,5100,150200,1400,93279,1300000,300200000,2040000,417500000,232,145,33,5003,4917,2112,108440,113117,54991,14,178,505
Bình ??nh,2006,1480100,720900,759200,392700,1087400,993,121000,607800,7800,36700,400,1900,19300,340000,633400,2992000,6700,138800,4500,109981,19900000,1057500000,6581000,1070200000,240,127,32,5717,4972,1845,138173,137177,63213,16,157,726
Phú Yên,2006,844300,420000,424300,176200,668100,2735,57900,314200,6900,16200,300,1400,3700,228600,124200,1841000,2400,13600,2600,39162,7500000,416300000,4524000,322000000,157,92,23,4592,4128,1624,81772,70107,33794,11,92,435
Khánh Hòa,2006,1125200,558700,566500,435500,689700,2498,47000,204100,5600,9800,200,700,4800,97800,107200,1364000,2200,33000,6500,79147,21200000,623600000,8842000,1533200000,180,86,22,4361,4295,1464,103029,91583,37256,10,135,555
Ninh Thu?n,2006,551400,272700,278700,175200,376200,930,34200,171100,13500,38800,100,400,4500,108100,74700,604000,900,3900,1800,55250,2500000,162000000,1885000,193500000,138,51,9,2661,2045,708,61002,46105,17850,4,62,276
Bình Thu?n,2006,1142100,569600,572500,416300,725800,1884,96400,361000,19800,101200,1600,9100,8100,186200,313300,1957000,4700,37100,2300,157334,10200000,431100000,2382000,153200000,274,115,26,5254,4362,1526,119310,101691,42270,11,110,552
Kon Tum,2006,396600,199200,197400,131700,264900,417,23200,70900,9200,30200,200,1200,15400,77600,86400,426000,1400,31800,400,1393,1400000,181000000,1428000,71200000,113,76,6,2924,2151,725,52823,35311,13039,8,96,199
Gia Lai,2006,1200500,611000,589500,330200,870300,2128,68700,281200,54300,196400,1500,9200,12000,313900,328500,1202000,4500,167200,200,551,3400000,441100000,3113000,522600000,205,134,28,6186,4496,1727,150033,93266,35665,17,178,455
??k L?k,2006,1677800,852700,825100,371800,1306000,802,69800,372500,117200,544000,3100,30100,28100,225000,502100,3515000,4300,62000,5000,7300,8199999,871900000,2910000,334500000,379,198,32,9185,6757,2692,212415,166835,80432,17,175,806
??k Nông,2006,440900,218700,222200,63000,377900,4592,12100,52100,27500,160400,4500,50300,6700,23600,97600,863000,2200,20100,700,1468,1400000,117600000,431000,40300000,100,59,12,2308,1563,568,54302,35602,13460,7,57,192
Lâm ??ng,2006,1145100,572800,572300,436200,708900,791,32700,103700,19400,83300,3000,34200,16800,107800,371600,1802000,2100,47600,2200,3970,10700000,978400000,2962100,361400000,247,108,25,5130,4578,2347,123630,97342,45893,13,145,603
Bình Ph??c,2006,819000,417000,402000,134100,684900,4438,14500,34800,7000,21800,1100,6700,17500,72100,166100,1465000,1500,6100,2100,4905,4900000,572300000,1006800,59700000,148,86,17,4232,2778,1108,90017,58901,27322,7,94,326
Tây Ninh,2006,1046400,515000,531400,158000,888400,2053,137900,594400,7800,35000,100,1200,30900,125700,208700,1883000,100,53800,800,6714,8800000,728500000,6327000,501400000,293,103,30,4455,3563,1127,87609,67247,26921,12,92,463
Bình D??ng,2006,1203700,576000,627700,361700,842000,1876,15800,45900,800,1600,200,1800,11200,44500,298800,2022000,200,600,400,3970,10400000,655800000,11656000,526000000,131,49,12,3294,2533,1254,71253,55721,28069,8,89,498
??ng Nai,2006,2314900,1148000,1166900,748200,1566700,3240,77500,305800,56700,288000,200,1300,6000,98500,1235200,5756000,1100,16400,30500,30559,43400000,1643600000,22198600,1229300000,296,157,47,8458,6793,2886,202426,174798,81549,15,171,672
Bà R?a - V?ng Tàu,2006,955700,479000,476700,451300,504400,658,23400,74400,19000,78100,300,1000,1300,53800,221200,1663000,1000,2200,7800,222171,24700000,1625700000,5667000,655000000,142,70,24,3665,3304,1600,85747,72598,37721,9,74,386
TP.H? Chí Minh,2006,6483100,3140800,3342300,5409700,1073400,1812,36200,104200,1200,4100,100,600,6100,98400,301000,80000,0,21800,10700,56686,231900000,4795200000,36275000,10277000000,458,231,76,14209,13684,7668,418257,321702,166962,36,317,4371
Long An,2006,1405200,690900,714300,240400,1164800,2994,433200,1769400,4600,22300,100,600,11900,91100,410200,3830000,100,87000,11600,36129,30100000,667300000,7880000,368400000,244,115,29,5105,4275,1475,114801,92097,42225,16,179,552
Ti?n Giang,2006,1655300,803600,851700,224200,1431100,2213,247800,1214300,1500,4800,100,1600,500,63500,553200,4807000,0,75300,12400,142711,26500000,1086300000,5690000,551400000,231,119,29,5024,5014,1870,133950,105260,45624,12,169,691
B?n Tre,2006,1269300,616600,652700,120400,1148900,3479,81800,332500,700,1900,200,1900,1700,162700,325800,2617000,0,8100,41000,144963,26000000,864700000,2746000,269900000,191,135,40,4705,4514,1727,97641,87365,42571,10,160,805
Trà Vinh,2006,993700,492900,500800,144300,849400,2601,228200,1009800,5400,23900,2300,29000,2500,141800,351500,2991000,200,56100,41300,133988,11300000,573000000,5776800,277000000,217,91,21,4376,3564,1695,78826,55699,27338,9,80,399
V?nh Long,2006,1021600,496600,525000,153700,867900,361,196500,932300,900,1700,6000,177600,200,63200,288000,2544000,0,18500,2300,53505,31300000,571400000,3310000,152000000,247,91,16,3808,3548,1910,77625,65945,38130,9,101,421
??ng Tháp,2006,1646800,803700,843100,268700,1378100,4319,454000,2404900,5000,36100,700,12400,1700,33100,322400,3679000,200,95700,4500,180247,21400000,331200000,2576000,258899999,313,133,37,6868,5053,2270,139041,105128,45301,12,146,673
An Giang,2006,2125800,1045000,1080800,555800,1570000,6180,503500,2923200,10000,76000,400,6300,5400,74000,190900,2953000,500,60300,1900,235355,51300000,1780900000,15729600,1043099999,395,147,53,7146,5893,2316,181411,117918,45929,14,154,825
Kiên Giang,2006,1637800,807600,830200,414600,1223200,9060,595100,2744300,0,100,400,6900,8400,14000,350800,3883000,2000,60000,95500,377777,27600000,1415800000,4127200,509500000,266,120,28,7517,5067,1755,161834,109476,41022,13,123,717
C?n Th?,2006,1160500,570700,589800,584900,575600,305,222800,1153000,800,3800,100,800,600,5400,167300,1570000,0,5700,13600,116524,91800000,4164100000,6780000,784700000,171,55,15,4255,3070,1369,87126,62957,28416,15,61,581
H?u Giang,2006,752800,371200,381600,124700,628100,51,227100,1062800,1300,6000,800,13600,1600,3500,249800,2867000,200,9200,7400,29536,46700000,275300000,3933000,188400000,166,46,13,3704,2226,797,64413,44497,18675,8,54,258
Sóc Tr?ng,2006,1265600,616900,648700,240200,1025400,6186,324400,1602200,2800,9400,1500,16400,2200,25300,303000,2611000,300,39000,64300,113950,22400000,353000000,2844000,158300000,280,95,14,6405,3706,1567,119952,71766,30174,11,105,461
B?c Liêu,2006,823800,400600,423200,212200,611600,13336,144100,677200,500,2100,500,3000,1600,1500,253800,1235000,100,2800,120200,181050,28200000,654500000,2181000,194200000,150,66,11,4536,2688,966,75893,48346,19281,7,61,342
Cà Mau,2006,1188700,586300,602400,236700,952000,3357,115400,403300,200,700,300,1400,500,700,215300,793000,5700,83300,275200,276010,37100000,979100000,741200,128300000,259,105,18,5817,3740,1347,113116,72971,29632,11,83,524
Hà N?i,2007,6002200,2955100,3047100,2398000,3604200,2272,206700,1062000,22300,90300,8000,65900,25300,218600,1558400,14256000,400,7800,16500,41166,441900000,4550000000,54992200,3658900000,641,556,170,19272,20314,10544,392818,346627,231275,35,554,2691
V?nh Phúc,2007,1174100,581400,592700,206500,967600,832,57900,316200,15200,51600,3700,28800,26700,166200,551600,7107000,700,24300,5900,11853,6000000,587400000,10263000,592700000,205,167,43,4464,5255,2182,85993,83471,48468,9,154,542
B?c Ninh,2007,1009400,491400,518000,197400,812000,1859,76200,420600,2500,9000,1500,19000,4100,60600,384900,3807000,100,4700,5000,23854,6000000,202100000,16908600,762200000,150,136,36,3560,4058,2510,80949,73753,51570,11,126,611
Qu?ng Ninh,2007,1122500,568500,554000,554200,568300,1352,45600,209200,6300,21200,4900,27500,66100,30200,357700,2024000,15500,85200,19000,66320,11100000,1192600000,13238200,1621900000,164,139,45,5076,4868,2025,86008,79415,47140,19,186,708
H?i D??ng,2007,1694700,827700,867000,278900,1415800,927,126900,741900,4500,20600,2100,21500,9900,55900,614500,6686000,100,1800,9700,42425,5700000,410500000,20396000,1592300000,279,273,50,5746,6354,2450,119154,110792,69105,17,263,785
H?i Phòng,2007,1806500,892900,913600,784000,1022500,1474,83100,461400,1600,7900,1900,19300,9500,17900,537500,4817000,300,7300,13700,75809,23600000,899200000,28313800,7641900000,218,194,58,6114,6663,3738,114308,113162,77522,22,220,1359
H?ng Yên,2007,1121300,542100,579200,130199,991100,2264,81700,491100,9200,44000,1500,18100,2100,50700,600500,5582000,0,7200,4500,16583,4300000,280600000,9692000,387100000,169,169,33,3850,4338,2002,80664,76917,48171,16,161,535
Thái Bình,2007,1783900,857200,926700,136600,1647300,2920,168300,1014800,9200,48000,5100,59100,5800,66800,1042099,7773000,500,3900,13000,77845,6000000,504600000,7818100,2219800000,294,274,41,6460,6701,2379,123153,112063,69976,16,285,1372
Hà Nam,2007,788400,382200,406200,70000,718400,558,69700,407100,7700,36400,1200,13300,2600,48500,424600,3913000,100,12700,5700,14669,2600000,141300000,5447900,298500000,139,121,25,2549,3289,1270,57918,56092,31297,12,116,448
Nam ??nh,2007,1829700,892600,937100,301200,1528500,997,156700,931800,4100,17100,3900,32900,8000,47500,810600,5406000,200,6900,15200,71555,6600000,742900000,9480000,1464900000,292,245,53,5870,7012,2903,140738,138085,68928,17,229,812
Ninh Bình,2007,896100,440900,455200,149600,746500,630,80400,444600,8400,28500,2700,22200,16800,60000,365800,2932000,600,17000,9000,18809,7000000,355400000,15004000,810400000,154,144,27,3208,3518,1505,61796,65644,38999,10,145,597
Hà Giang,2007,704900,349000,355900,82500,622400,158,36600,161700,43300,90700,1300,6000,147000,84300,352900,2595000,7200,61900,1400,1247,700000,77700000,691000,21500000,150,116,18,5966,3434,861,76742,49395,16290,13,175,327
Cao B?ng,2007,508600,249700,258900,79900,428700,57,31200,119800,37200,109100,1800,9700,117400,129500,310800,2089000,1600,25000,400,361,1000000,73500000,1824000,68300000,181,100,17,3545,2508,858,45424,35385,21683,16,194,367
B?c K?n,2007,291800,146100,145700,46000,245800,40,21200,92900,16100,55600,500,2100,87900,44900,155000,1012000,3300,55100,900,676,1500000,123600000,1563000,24100000,108,74,9,1752,1497,474,23401,22136,11233,7,122,320
Tuyên Quang,2007,719400,356300,363100,86500,632900,54,45200,252400,17700,73200,4400,26000,143200,55300,418100,3032000,7100,231600,2200,2677,3600000,398400000,5852200,386400000,160,149,28,3966,3294,1603,57084,53536,30667,12,140,383
Lào Cai,2007,598300,299200,299100,125900,472400,257,28300,124000,26600,75800,600,3100,127000,23900,353400,2506000,5600,30100,1500,1670,3400000,117800000,989000,22600000,229,186,26,4236,3307,913,62465,50149,17731,12,164,360
Yên Bái,2007,731600,363700,367900,143200,588400,319,39600,178200,15800,39900,2900,15100,111700,38800,376000,2784000,7900,200000,2600,4331,5000000,265500000,4119000,77900000,176,134,22,3810,3496,1369,63907,56751,25456,12,178,486
Thái Nguyên,2007,1113000,556300,556700,276100,836900,584,68900,324400,17800,74800,8700,50200,108600,57000,509000,5071000,5500,29000,4500,4169,4000000,339600000,9597000,302000000,226,178,27,4725,4722,1836,77744,72732,39546,15,180,717
L?ng S?n,2007,728200,362000,366200,139400,588800,31,49200,199200,19100,89000,2700,12600,182200,57100,332800,3055000,5200,69800,1000,1167,4000000,242800000,1883000,56300000,220,179,22,4716,4558,1197,60552,61874,28245,14,226,522
B?c Giang,2007,1548800,765800,783000,144200,1404600,1324,109900,539500,14200,49700,10000,98300,91200,148400,1002300,10979000,4800,50300,5900,11755,7500000,570400000,6215000,192200000,258,226,47,7342,6945,2635,123233,118223,67297,15,228,870
Phú Th?,2007,1305600,641800,663800,202700,1102900,470,67900,324200,21600,82200,4100,24400,95200,163400,552300,8068000,6300,182000,9100,17466,4000000,464100000,17887000,861100000,296,250,53,6021,6050,2575,91024,94031,49476,17,274,663
?i?n Biên,2007,466000,233800,232200,74200,391800,138,43200,131500,27300,56500,400,2700,105200,32200,232300,1417000,900,56200,1700,995,700000,133300000,709400,40900000,146,111,18,3650,2498,891,54768,34467,14462,10,106,228
Lai Châu,2007,364400,183200,181200,48500,315900,116,30600,99900,17800,37500,700,4100,92400,12400,160600,853000,800,6000,600,1003,700000,16200000,591000,21400000,111,86,11,3559,1791,350,42908,21243,5591,7,94,112
S?n La,2007,1050800,528400,522400,139700,911100,89,45600,148800,117800,444000,700,4000,162100,159900,405100,4848000,2200,51800,2500,4915,2300000,221800000,2371000,244600000,245,204,26,6868,5174,1357,108181,82253,31732,15,201,464
Hòa Bình,2007,872800,434000,438800,132300,740500,198,41400,195400,34000,123700,5400,26800,126100,81700,398000,3383000,8600,137000,1900,3481,3600000,220300000,2698000,117200000,221,210,34,4923,4698,1379,59382,59360,29936,14,214,398
Thanh Hóa,2007,3417300,1675200,1742100,346800,3070500,3655,254400,1340100,59400,234500,15800,99400,234700,390000,1334800,13805000,10100,45800,13400,83909,6600000,463600000,16751000,1127100000,729,650,101,14284,16118,6175,249890,277533,155064,35,634,1582
Ngh? An,2007,2905200,1424600,1480600,350600,2554600,979,183100,846800,59600,206900,12900,78300,292200,445300,1182900,10967000,9700,98900,20400,79466,22800000,1526100000,22567700,1211500000,565,438,89,14415,14266,5992,241073,265597,135343,24,476,1268
Hà T?nh,2007,1239000,615200,623800,168600,1070400,447,100500,363700,8600,24400,13900,84600,109800,210100,422600,4380000,6400,73100,6700,31361,5200000,678300000,8773800,150700000,309,195,44,5359,6771,3074,109269,121277,71578,17,262,516
Qu?ng Bình,2007,838500,417700,420800,122000,716500,849,50200,215800,4800,18900,4100,28000,41200,130000,359900,1937000,4500,43500,3700,37389,6800000,274000000,5487000,276600000,209,146,27,3871,4134,1678,74094,76234,40123,8,159,366
Qu?ng Tr?,2007,594100,293700,300400,158700,435400,957,47100,213500,3200,6600,3700,24700,39700,77500,236700,1299000,4200,54200,2500,20709,3800000,368600000,3171000,195300000,159,106,26,3658,3427,1624,59367,57259,30187,10,139,357
Th?a Thiên Hu?,2007,1081000,531000,550000,374200,706800,482,50900,259600,1700,6500,4700,22500,38000,28000,266800,1632000,4800,64599,5400,33421,13600000,699100000,5098400,262600000,235,103,31,4809,4753,2241,105923,94018,45359,12,150,620
?à N?ng,2007,847500,409900,437600,723000,124500,328,8000,45200,800,4600,500,3700,2300,16100,63100,275000,700,23200,700,40378,15300000,628200000,15018000,1916700000,100,50,19,2809,2852,1588,59319,59153,34320,12,56,760
Qu?ng Nam,2007,1413900,684600,729300,251400,1162500,917,84100,395100,11700,51200,8100,50400,81700,239700,578700,3361000,9500,156000,7500,59642,8800000,486000000,4427000,285300000,268,192,43,6275,6046,2335,120916,122756,68260,22,236,722
Qu?ng Ngãi,2007,1214800,596100,618700,175600,1039200,337,74000,381300,10600,52900,1000,5200,50100,287800,522700,2532000,5200,180600,1500,94550,1400000,348200000,2694000,513100000,234,153,33,4918,5019,2069,101811,105875,53424,16,178,527
Bình ??nh,2007,1482300,722800,759500,399400,1082900,1019,112000,579100,7800,38800,300,1300,20200,335600,620400,3633000,6800,152100,4600,117761,21100000,1230000000,6997000,1051200000,242,128,40,5852,5256,2109,132053,129628,69407,16,159,772
Phú Yên,2007,850300,422000,428300,180200,670100,2750,56600,322000,5800,15400,300,1400,3800,233600,129699,1931000,2400,18500,2300,40430,7800000,437000000,4899000,346800000,159,99,23,4623,4005,1530,80872,65856,32973,11,106,426
